Log Field Name,Description,Data Type
acct_stat,Accounting state (RADIUS),string
acktime,Alarm Acknowledge Time,string
act,Action,string
action,Policy Action,string
activity,HA activity message,string
addr,IP Address,string
addr_type,Address Type,string
addrgrp,,string
adgroup,AD Group Name of FSSO user,string
admin,Administrator,string
advpnsc,,number
age,Time in seconds - time passed since last seen,number
agent,SNMP agent,string
alarmid,Alarm ID,number
alert,Alert ID,string
ap,Access Point,string
app-type,Application type,string
apscan,The name of AP to detect rogue ap,string
apstatus,"Rogue AP status like unclassify(0), rogue(1), accept(2), suppress(3)",number
aptype,The AP type is Ad-hoc mode or regular AP mode,number
assigned,Assigned IP Address through PPPoE,ip
assignip,IPsec VPN tunnel assigned IP address,ip
auditid,Security Rating ID,number
auditreporttype,Security Rating report type,string
auditscore,Security Rating score,string
audittime,Security Rating time,number
authgrp,Authorization Group,string
authid,,string
authproto,The protocol that initiated the authentication,string
authserver,Remote Authentication server,string
bandwidth,Bandwidth,string
banned_rule,NAC quarantine Banned Rule Name,string
banned_src,NAC quarantine Banned Source IP,string
bibandwidthavailable,,string
bibandwidthused,,string
bssid,Basic service set ID,string
carrier_ep,The FortiOS Carrier end-point identification,string
category,Log category,number
cert,Certificate,string
cert-type,Certification type,string
cfgattr,Configuration attribute,string
cfgobj,Configuration object,string
cfgpath,Configuration path,string
cfgtid,Config transaction id,number
cfgtxpower,Config TX power,number
channel,Channel,number
chassisid,Chassis ID,number
cldobjid,,string
client_addr,Client address,string
community,Community,string
configcountry,Config Country,string
connection_type,FortiClient Connection Type,string
conserve,Flag for Conserve Mode,string
cookies,Cookie,string
core,,number
count,"ENDPOINT/endpoint: Count of EndPoint Connections

SYSTEM/system: Count

USER/endpoint/user: Number of Packets",number
cpu,CPU Usage,number
criticalcount,Critical level threat count,number
crl,Certificate revocation lists,string
cveid,CVE ID,string
daddr,Destination address,string
daemon,Daemon Name,string
datarange,Data range for reports,string
date,Date,string
ddnsserver,DDNS Server,ip
desc,Description,string
detectionmethod,Detection Method,string
devid,Device ID,string
devintfname,HA device interface name,string
devtype,Device type,string
dhcp_msg,DHCP Message,string
dintf,Destination interface,string
dir,Direction,string
direction,,string
disk,Disk Usage,number
disklograte,Disk Log Rate,number
domainctrlauthstate,,number
domainctrlauthtype,,number
domainctrldomain,,string
domainctrlip,,ip
domainctrlname,,string
domainctrlprotocoltype,,number
domainctrlusername,,string
ds,Direction with distribution system,string
dst_host,Destination Host,string
dst_int,Destination Interface,string
dstintfrole,,string
dstip,Destination IP,ip
dstport,Destination Protocol Port,number
duid,DHCPv6 unique identifier,string
duration,"SYSTEM/USER/VPN/system/user/vpn: Duration

WIRELESS/wireless: Duration of the last threatening packed captured from TA",number
eapolcnt,The count of EAPOL packets,number
eapoltype,The packet type of EAPOL,string
encrypt,The packet is encrypted or not,number
encryption,The encryption type of detected rogue AP,string
error,Error Reason for Log Upload to Forticloud,string
error_num,Error Number,string
espauth,IPsec Phase2 ESP message authentication code,string
esptransform,IPsec Phase2 ESP encryption method,string
eventtime,Event time,number
eventtype,,string
exch,Type of IKE messages exchanged,string
expectedsignature,,number
expiry,FortiGuard override expiry timestamp,string
failuredev,,string
fams_pause,Fortinet Analysis and Management Service Pause,number
fazlograte,FortiAnalyzer Logging Rate,number
fctemsname,,string
fctemssn,,string
fctuid,FortiClient UID,string
field,NTP date-time field,string
file,Report file full path,string
filesize,Report File Size in Bytes,number
fqdn,Fully Qualified Domain Name,string
frametype,Frame Type,string
freediskstorage,,number
from,Sender Email Address for Notification,string
from_vcluster,Source virtual cluster number,number
fwserver_name,WAD forward server name,string
gateway,Gateway ip address for PPPoE status report,ip
green,Green threshold for conserve mode,string
group,User group Name,string
groupid,User Group ID,number
ha-prio,HA Priority,number
ha_group,HA Group Number - can be 0 - 255,number
ha_role,The HA role in the cluster,string
handshake,Handshake,string
hash,Hash Value of Downloaded File,string
healthcheck,,string
highcount,Security Rating result failed count for high severity,number
host,Host Name,string
hostname,Hostname,string
httpcode,,number
iaid,DHCPv6 Identity Association Identifier,number
in_spi,SPI for incoming traffic,string
inbandwidthavailable,,string
inbandwidthused,,string
informationsource,Information Source,string
init,,string
initiator,Original login user name for Fortiguard override,string
interface,Interface,string
intf,Interface,string
invalidmac,Detected MAC address with invalid OUI,string
ip,Source IP,ip
iptype,IP type,string
jitter,,string
latency,,string
lease,DHCP lease time,number
level,Log Level,string
license_limit,Maximum Number of FortiClients for the License,string
limit,Virtual Domain Resource Limit,number
live,Time in seconds,number
local,Local IP for a PPPD Connection,ip
localdevcount,,number
