Log Field Name,Description,Data Type
action,,string
agent,"AV/DLP/Virus/Web/Webfilter: User agent - eg. agent=""Mozilla/5.0""

WAF: Agent",string
analyticscksum,The checksum of the file submitted for analytics,string
analyticssubmit,The flag for analytics submission,string
antiphishdc,,string
antiphishrule,,string
app,Application name,string
appcat,Application category name,string
appid,Application ID,number
applist,Application Control profile name,string
apprisk,Application risk level,string
attachment,"Possible values: yes , no",string
attack,"Anomaly: Attack

IPS: Attack Name",string
attackcontext,The trigger patterns and the packet data with base64 encoding,string
attackcontextid,Attack context ID / total,string
attackid,Attack ID,number
authalgo,,string
authserver,"APP-CTRL/App/IPS/Web/Webfilter: Authentication server for the user

AV/Virus: Server used to authenticate the involved user

DLP/WAF: Authentication Server",string
banword,Banned word,string
botnetdomain,Botnet domain name,string
botnetip,Botnet IP address,ip
call_id,"Ex: call_id=""1-22011@10.6.30.11""",string
cat,"DNS: DNS category ID

Web/Webfilter: Web category ID",number
catdesc,"DNS: DNS category description

Web/Webfilter: Web category description",string
cc,Email address(es) from the Email Headers (IMAP/POP3/SMTP),string
ccertissuer,,string
cdrcontent,,string
certdesc,,string
certhash,,string
channeltype,"Type of Channel:
 x11, shell, exec, tcp-fprward, tun-forward, sftp. scp",string
checksum,The checksum of the scanned file,string
chgheaders,Change headers,string
cipher,,string
cloudaction,Action performed by cloud application,string
clouddevice,,string
clouduser,User login ID detected by the Deep Application Control feature,string
cn,,string
column,Ex: column=16,number
command,Shell command,string
constraint,WAF HTTP protocol restrictions,string
contentdisarmed,"Content Disarm action- eg. disarmed, detected",string
contentencoding,,string
contenttype,Content Type from HTTP header,string
count,"Anomaly: Count

VoIP: Session count",number
craction,"APP-CTRL/Anomaly/App/Web/Webfilter: Client Reputation Action

AV/Virus: Threat Weight action

IPS: Action performed by Threat Weight",number
crlevel,"APP-CTRL/Anomaly/App/IPS/Web/Webfilter: Client Reputation level

AV/Virus: Threat Weight Level",string
crscore,"APP-CTRL/Anomaly/App/IPS/Web/Webfilter: Client Reputation Score

AV/Virus: Threat Weight Score",number
date,"APP-CTRL/AV/Anomaly/App/DLP/DNS/Email/IPS/SSH/Virus/WAF/Web/Webfilter: Date

VoIP: Day, month, and year when the log message was recorded.",string
devid,"APP-CTRL/Anomaly/App/IPS: Deivce ID

DLP/DNS/Email/SSH/WAF/Web/Webfilter: Device ID

VoIP: Serial number of the device for the traffic's origin.",string
dir,Destination Interface,string
