Log Field Name,Data Type
action,string
agent,string
authserver,string
banword,string
contenttype,string
craction,number
crlevel,string
crscore,number
date,string
devid,string
direction,string
dstauthserver,string
dstcountry,string
dstintf,string
dstintfrole,string
dstip,ip
dstport,number
dstuser,string
dstuuid,string
eventtime,number
eventtype,string
fctuid,string
forwardedfor,string
from,string
group,string
hostname,string
httpmethod,string
initiator,string
keyword,string
level,string
logid,string
msg,string
policyid,number
policymode,string
policytype,string
poluuid,string
profile,string
proto,number
rawdata,string
rcvdbyte,number
referralurl,string
reqtype,string
sentbyte,number
service,string
sessionid,number
srccountry,string
srcdomain,string
srcintf,string
srcintfrole,string
srcip,ip
srcport,number
srcuuid,string
subtype,string
time,string
to,string
trueclntip,ip
type,string
tz,string
unauthuser,string
unauthusersource,string
url,string
user,string
vd,string
vrf,number
urlfilteridx,number
urlfilterlist,string
urlsource,string
error,string
urltype,string
cat,number
catdesc,string
quotamax,number
quotatype,string
quotaused,number
ratemethod,string
quotaexceeded,string
filtertype,string
chgheaders,string
transid,number
antiphishdc,string
antiphishrule,string
videocategoryid,number
videochannelid,string
videoid,string
videoinfosource,string
attack,string
attackcontext,string
attackcontextid,string
attackid,number
incidentserialno,number
pdstport,number
psrcport,number
rawdataid,string
ref,string
severity,string
icmpcode,string
icmpid,string
icmptype,string
count,number
attachment,string
cc,string
fortiguardresp,string
recipient,string
sender,string
size,string
subject,string
webmailprovider,string
dlpextra,string
epoch,number
eventid,number
filename,string
filesize,number
filetype,string
filtercat,string
filteridx,number
filtername,string
infectedfilelevel,number
infectedfilename,string
infectedfilesize,number
infectedfiletype,string
subservice,string
docsource,string
sensitivity,string
app,string
appcat,string
applist,string
profiletype,string
appid,number
apprisk,string
ccertissuer,string
cloudaction,string
clouddevice,string
clouduser,string
parameters,string
scertcname,string
scertissuer,string
constraint,string
name,string
call_id,string
dir,string
dst_int,string
dst_port,number
duration,number
event_id,number
kind,string
policy_id,number
session_id,number
src_int,string
src_port,number
status,string
voip_proto,string
message_type,string
reason,string
request_name,string
column,number
line,string
malform_data,number
malform_desc,string
locip,ip
phone,string
locport,number
remip,ip
remport,number
qclass,string
qname,string
qtype,string
qtypeval,number
srcmac,string
xid,number
botnetdomain,string
botnetip,ip
domainfilteridx,number
domainfilterlist,string
exchange,string
ipaddr,string
rcode,number
sscname,string
translationid,number
infection,string
virusid,string
channeltype,string
command,string
hostkeystatus,string
login,string
authalgo,string
cipher,string
eventsubtype,string
kxcurve,string
kxproto,string
sni,string
tlsver,string
certhash,string
cn,string
issuer,string
keyalgo,string
keysize,number
notafter,string
notbefore,string
san,string
ski,string
sn,string
handshake,string
mitm,string
certdesc,string
matchfilename,string
matchfiletype,string
pathname,string
sharename,string
analyticscksum,string
analyticssubmit,string
cdrcontent,string
checksum,string
contentdisarmed,string
dtype,string
filehash,string
filehashsrc,string
fndraction,string
fndrconfidence,string
fndrfileid,number
fndrfiletype,string
fndrseverity,string
fsaaction,string
fsafileid,number
fsafiletype,string
fsaseverity,string
fsaverdict,string
quarskip,string
virus,string
viruscat,string
filefilter,string
switchproto,string
videocategoryname,string
ftlkintf,string
rcvdpkt,number
switchid,string
fndrverdict,string
contentencoding,string
logsrc,string
violations,string
