Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
srcdomain,,string,255,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
srccountry,,string,64,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
sessionid,Session ID,uint32,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
rcode,,uint8,3,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
qtypeval,Query Type Value,uint16,5,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
qtype,Query type description,string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
qname,Query domain name,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
qclass,Query class,string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
proto,Protocol number,uint8,3,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
profile,Profile name for DNS filter,string,64,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
poluuid,,string,37,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
policytype,,string,24,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
policyid,Policy ID,uint32,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
msg,Log message,string,512,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
logid,Log ID,string,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
level,Log Level,string,11,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
ipaddr,IP addresses from DNS response answer section,string,512,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
group,User group name,string,512,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
fctuid,FortiClient ID,string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
exchange,Mail Exchanges from DNS response answer section,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
eventtype,DNS Type (DNS query/DNS response),string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
eventtime,Event Timestamp,uint64,20,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
error,DNS filter service error message,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
echmsg,,string,64,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstuser,,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstport,Destination Port,uint16,5,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstip,Destination IP,ip,39,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstintfrole,Destination Interface Role,string,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstintf,Destination Interface,string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
dstcountry,,string,64,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
domainfilterlist,Domain Filter List,string,512,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
domainfilteridx,Domain Filter Index,uint8,3,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
devid,Device ID,string,16,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
date,Date,string,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
catdesc,DNS category description,string,64,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
cat,DNS category ID,uint8,3,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
botnetip,Botnet IP address,ip,39,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
botnetdomain,Botnet domain name,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
action,Security action performed by DNS filter,string,16,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.6.3
