Log Field Name,Description,Data Type
action,,string
activitycategory,,string
agent,"DLP/Virus/Webfilter: User agent - eg. agent=""Mozilla/5.0""

WAF: Agent",string
aiuser,,string
analyticscksum,The checksum of the file submitted for analytics,string
analyticssubmit,The flag for analytics submission,string
antiphishdc,,string
antiphishrule,,string
app,Application name,string
appcat,Application category name,string
appid,Application ID,number
applist,Application Control profile name,string
apprisk,Application risk level,string
attachment,,string
attack,"Anomaly: Attack

IPS: Attack Name",string
attackcontext,The trigger patterns and the packet data with base64 encoding,string
attackcontextid,Attack context ID / total,string
attackid,Attack ID,number
authalgo,,string
authserver,"APP-CTRL/IPS/Webfilter: Authentication server for the user

DLP/WAF: Authentication Server

Virus: Server used to authenticate the involved user",string
banword,Banned word,string
botnetdomain,Botnet domain name,string
botnetip,Botnet IP address,ip
call_id,"Ex: call_id=""1-22011@10.6.30.11""",string
cat,"DNS: DNS category ID

Webfilter: Web category ID",number
catdesc,"DNS: DNS category description

Webfilter: Web category description",string
cc,,string
ccertissuer,,string
cdrcontent,,string
certdesc,,string
certhash,,string
channeltype,"Type of Channel:
 x11, shell, exec, tcp-fprward, tun-forward, sftp. scp",string
checksum,The checksum of the scanned file,string
chgheaders,Change headers,string
cipher,,string
cloudaction,Action performed by cloud application,string
clouddevice,,string
cloudgenai,,string
clouduser,User login ID detected by the Deep Application Control feature,string
cn,,string
column,Ex: column=16,number
command,Shell command,string
constraint,WAF HTTP protocol restrictions,string
contentdisarmed,"Content Disarm action- eg. disarmed, detected",string
contentencoding,,string
contenttype,Content Type from HTTP header,string
count,"Anomaly: Count

VoIP: Session count",number
craction,"APP-CTRL/Anomaly/Webfilter: Client Reputation Action

IPS: Action performed by Threat Weight

Virus: Threat Weight action",number
crlevel,"APP-CTRL/Anomaly/IPS/Webfilter: Client Reputation level

Virus: Threat Weight Level",string
crscore,"APP-CTRL/Anomaly/IPS/Webfilter: Client Reputation Score

Virus: Threat Weight Score",number
date,"APP-CTRL/Anomaly/DLP/DNS/IPS/SSH/Virus/WAF/Webfilter: Date

VoIP: Day, month, and year when the log message was recorded.",string
dcgeo,,string
devid,"APP-CTRL/Anomaly/IPS: Deivce ID

DLP/DNS/SSH/WAF/Webfilter: Device ID

VoIP: Serial number of the device for the traffic's origin.",string
dir,Destination Interface,string
direction,"APP-CTRL: Direction of the packets

DLP: Direction of packets

IPS/Virus: Message/packets direction

SSH: Direction of session

WAF: Direction

Webfilter: Direction of the web traffic",string
dlpextra,DLP extra information,string
docsource,DLP fingerprint document source,string
domainfilteridx,Domain Filter Index,number
domainfilterlist,Domain Filter List,string
dst_int,Destination Interface,string
dst_port,Destination port,number
dstauthserver,,string
dstcountry,,string
dstintf,Destination Interface,string
dstintfrole,"APP-CTRL/Anomaly/DLP/IPS/SSH/Virus/WAF/Webfilter: Destination Interface's assigned role (LAN, WAN, etc.)

DNS: Destination Interface Role",string
dstip,"APP-CTRL/Anomaly/DLP/DNS/IPS/SSH/VoIP/Webfilter: Destination IP

Virus/WAF: Destination IP Address",ip
dstmac,,string
dstport,Destination Port,number
dstuser,,string
dstuuid,,string
dstzone,,string
dtype,Data type for virus category,string
duration,Duration of the session. Ex: 180 (in seconds),number
echmsg,,string
epoch,"DLP: Epoch used for locating file

VoIP: Epoch",number
error,"DNS: DNS filter service error message

Webfilter: URL rating error message",string
ethertype,,number
event_id,Unique event ID,number
eventid,"DLP: The serial number of the dlparchive file in the same epoch

WAF: Event ID",number
eventsubtype,,string
