Field Name,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),receive_time,Time the log was received at the management plane.
Serial Number (serial),serial,Serial number of the firewall that generated the log.
Type (type),type,Specifies the type of log; value is DECRYPTION.
Threat/ContentType (subtype),subtype,Not used in the Decryption log.
Config Version (config_ver),config_ver,The software version.
Generate Time (time_generated),time_generated,Time the log was generated on the dataplane.
Source Address (src),src,Original session source IP address.
Destination Address (dst),dst,Original session destination IP address.
NAT Source IP (natsrc),natsrc,"If Source NAT performed, the post-NAT Source IP address."
NAT Destination IP (natdst),natdst,"If Destination NAT performed, the post-NAT Destination IP address."
Rule (rule),rule,Security policy rule that controls the session traffic.
Source User (srcuser),srcuser,Username of the user who initiated the session.
Destination User (dstuser),dstuser,Username of the user to which the session was destined.
Application (app),app,Application associated with the session.
Virtual System (vsys),vsys,Virtual System associated with the session.
Source Zone (from),from,Zone the session was sourced from.
Destination Zone (to),to,Zone the session was destined to.
Inbound Interface (inbound_if),inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),outbound_if,Interface that the session was destined to.
Log Action (logset),logset,Log Forwarding profile applied to the session.
Time Logged (time_received),time_received,The time the log was received.
Session ID (sessionid),sessionid,An internal numerical identifier applied to each session.
Repeat Count (repeatcnt),repeatcnt,"Number of sessions with the same Source IP, Destination IP, Application, and Content/Threat Type seen within 5 seconds."
Source Port (sport),sport,Source port utilized by the session.
Destination Port (dport),dport,Destination port utilized by the session.
NAT Source Port (natsport),natsport,Post-NAT source port.
NAT Destination Port (natdport),natdport,Post-NAT destination port.
Flags (flags),flags,"32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000—session has a packet capture (PCAP)

0x40000000—option is enabled to allow a client to use multiple paths to connect to a destination host

0x20000000—file is submitted to WildFire for a verdict

0x10000000—enterprise credential submission by end user detected

0x08000000— source for the flow is on the allow list and not subject to recon protection

0x02000000—IPv6 session

0x01000000—SSL session is decrypted (SSL Proxy)

0x00800000—session is denied via URL filtering

0x00400000—session has a NAT translation performed

0x00200000—user information for the session was captured through Authentication Portal

0x00100000—application traffic is on a non-standard destination port

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000—log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00020000—Client to Server flow is subject to policy based forwarding

0x00010000—Server to Client flow is subject to policy based forwarding

0x00008000—session is a container page access (Container Page)

0x00002000—session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800—symmetric return is used to forward traffic for this session

0x00000400—decrypted traffic is being sent out clear text through a mirror port

0x00000100—payload of the outer tunnel is being inspected"
IP Protocol (proto),proto,IP protocol associated with the session.
Action (action),action,"Action taken for the session; possible values are:

allow—session was allowed by policy

deny—session was denied by policy

drop—session was dropped silently

drop ICMP—session was silently dropped with an ICMP unreachable message to the host or application

reset both—session was terminated and a TCP reset is sent to both the sides of the connection

reset client—session was terminated and a TCP reset is sent to the client

reset server—session was terminated and a TCP reset is sent to the server"
Tunnel (tunnel),tunnel,Type of tunnel.
Source VM UUID (src_uuid),src_uuid,The source universal unique identifier for a guest virtual machine in the VMware NSX environment.
Destination VM UUID (dst_uuid),dst_uuid,The destination universal unique identifier for a guest virtual machine in the VMware NSX environment.
UUID for rule (rule_uuid),rule_uuid,The UUID that permanently identifies the rule.
Stage for Client to Firewall (hs_stage_c2f),hs_stage_c2f,"The stage of the TLS handshake from the client to the firewall, for example, Client Hello, Server Hello, Certificate, Client/Server key exchange, etc."
Stage for Firewall to Server (hs_stage_f2s),hs_stage_f2s,The stage of the TLS handshake from the firewall to the server.
TLS Version (tls_version),tls_version,The version of TLS protocol used for the session.
Key Exchange Algorithm (tls_keyxchg),tls_keyxchg,The key exchange algorithm used for the session.
Encryption Algorithm (tls_enc),tls_enc,"The algorithm used to encrypt the session data, such as AES-128-CBC, AES-256-GCM, etc."
Hash Algorithm (tls_auth),tls_auth,"The authentication algorithm used for the session, for example, SHA, SHA256, SHA384, etc."
Policy Name (policy_name),policy_name,The name of the Decryption policy associated with the session.
Elliptic Curve (ec_curve),ec_curve,The elliptic cryptography curve that the client and server negotiate and use for connections that use ECDHE cipher suites.
Error Index (err_index),err_index,"The type of error that occurred: Cipher, Resource, Resume, Version, Protocol, Certificate, Feature, or HSM."
Root Status (root_status),root_status,"The status of the root certificate, for example, trusted, untrusted, or uninspected."
Chain Status (chain_status),chain_status,"Whether the chain is trusted. Values are:

Uninspected

Untrusted

Trusted

Incomplete"
Proxy Type (proxy_type),proxy_type,"The Decryption proxy type, such as Forward for Forward Proxy, Inbound for Inbound Inspection, No Decrypt for undecrypted traffic, GlobalProtect, etc."
Certificate Serial Number (cert_serial),cert_serial,The unique identifier of the certificate (generated by the certificate issuer).
Certificate Fingerprint (fingerprint),fingerprint,A hash of the certificate in x509 binary format.
Certificate Start Date (notbefore),notbefore,The time the certificate became valid (certificate in invalid before this time).
Certificate End Date (notafter),notafter,The time the certificate expires (certificate becomes invalid after this time).
Certificate Version (cert_ver),cert_ver,"The certificate version (V1, V2, or V3)."
Certificate Size (cert_size),cert_size,The certificate key size.
Common Name Length (cn_len),cn_len,The length of the subject common name.
Issuer Common Name Length (issuer_len),issuer_len,The length of the issuer common name.
Root Common Name Length (rootcn_len),rootcn_len,The length of the root common name.
SNI Length (sni_len),sni_len,The length of the Server Name Indication (hostname).
Certificate Flags (cert_flags),cert_flags,"The certificate flags can return seven values:

Session is resumed (b_resume_session)

Certificate (subject) common name is truncated (b_cert_cn_truncated)

Issuer common name is truncated (b_issuer_cn_truncated)

Root common name is truncated (b_root_cn_truncated)

Server Name Indication (SNI) is truncated (b_sni_truncated)

Certificate type, RSA or ECDSA (b_cert_type)

Unused (padding3)"
Subject Common Name (cn),cn,The domain name (the name of the server that the certificate protects).
Issuer Common Name (issuer_cn),issuer_cn,The name of the organization that verified the certificate’s contents.
Root Common Name (root_cn),root_cn,The name of the root certificate authority.
Server Name Indication(sni),,The hostname of the server that the client is trying to contact. Using SNIs enables a server to host multiple websites and present multiple certificates on the same IP address and TCP port because each website has a unique SNI.
Error (error),error,A string showing the error that has occurred in the event.
Container ID (container_id),container_id,A unique alphanumeric string that identifies the container if the firewall runs in a cloud container.
POD Namespace (pod_namespace),pod_namespace,The name of the Kubernetes pod namespace.
POD Name (pod_name),pod_name,The name of the kubernetes pod.
Source External Dynamic List (src_edl),src_edl,The name of the external dynamic list that contains the source IP address of the traffic.
Destination External Dynamic List (dst_edl),dst_edl,The name of the external dynamic list that contains the destination IP address of the traffic.
Source Dynamic Address Group (src_dag),src_dag,The dynamic address group that Device-ID identifies as the source of the traffic.
Destination Dynamic Address Group (dst_dag),dst_dag,The dynamic address group that Device-ID identifies as the destination for the traffic.
