Field Name,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),receive_time,"Month, Day and time the log was received at the management plane."
Serial Number (serial),serial,Serial number of the firewall that generated the log.
Type (type),type,Specifies the type of log; value is GTP.
Threat/Content Type (subtype),subtype,"Subtype of traffic log; values are start, end, drop, and deny

Start—session started

End—session ended

Drop—session dropped before the application is identified and there is no rule that allows the session.

Deny—session dropped after the application is identified and there is a rule to block or no rule that allows the session."
Generated Time (time_generated or cef-formatted-time_generated),time_generated,Time the log was generated on the dataplane.
Source Address (src),src,Source IP address of packets in the session.
Destination Address (dst),dst,Destination IP address of packets in the session.
Rule Name (rule),rule,Name of the Security policy rule in effect on the session.
Application (app),app,Tunneling protocol used in the session.
Virtual System (vsys),vsys,Virtual System associated with the session.
Source Zone (from),from,Source zone of packets in the session.
Destination Zone (to),to,Destination zone of packets in the session.
Inbound Interface (inbound_if),inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),outbound_if,Interface that the session was destined to.
Log Action (logset),logset,Log Forwarding Profile that was applied to the session.
Session ID (sessionid),sessionid,Session ID of the session being logged.
Source Port (sport),sport,Source port utilized by the session.
Destination Port (dport),dport,Destination port utilized by the session.
IP Protocol (proto),proto,IP protocol associated with the session.
Action (action),action,"Action taken for the session; possible values are:
allow—session was allowed by policy
deny—session was denied by policy"
GTP Event Type (event_type),event_type,Defines event triggered by a GTP message when checks in GTP protection profile are applied to the GTP traffic. Also triggered by the start or end of a GTP session.
MSISDN (msisdn),msisdn,"Service identity associated with the mobile subscriber composed of a Country Code, National Destination Code and a Subscriber. Consists of decimal digits (0-9) only with a maximum of 15 digits."
Access Point Name (apn),apn,Reference to a Packet Data Network Data Gateway (PGW)/ Gateway GPRS Support Node in a mobile network. Composed of a mandatory APN Network Identifier and an optional APN Operator Identifier.
Radio Access Technology (rat),rat,"Type of technology used for radio access. For example, EUTRAN, WLAN, Virtual, HSPA Evolution, GAN and GERAN."
GTP Message Type (msg_type),msg_type,Indicates the GTP message type.
End IP Address (end_ip_adr),end_ip_adr,IP address of a mobile subscriber allocated by a PGW/GGSN.
Tunnel Endpoint Identifier1 (teid1),teid1,Identifies the GTP tunnel in the network node. TEID1 is the first TEID in the GTP message.
Tunnel Endpoint Identifier2 (teid2),teid2,Identifies the GTP tunnel in the network node. TEID2 is the second TEID in the GTP message.
GTP Interface (gtp_interface),gtp_interface,3GPP interface from which a GTP message is received.
GTP Cause (cause_code),cause_code,GTP cause value in logs responses which contain an Information Element that provides information about acceptance or rejection of GTP requests by a network node.
