Field Name,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),receive_time,"Month, day, and time the log was received at the management plane."
Serial Number (serial),serial,Serial number of the firewall that generated the log.
Type (type),type,Type of log as it pertains to the session: START or END.
Threat/Content Type (subtype),subtype,"Subtype of traffic log; values are start, end, drop, and deny

Start—session started

End—session ended

Drop—session dropped before the application is identified and there is no rule that allows the session.

Deny—session dropped after the application is identified and there is a rule to block or no rule that allows the session."
Generated Time (time_generated or cef-formatted-time_generated),time_generated,Time the log was generated on the dataplane.
Source Address (src),src,Source IP address of packets in the session.
Destination Address (dst),dst,Destination IP address of packets in the session.
NAT Source IP (natsrc),natsrc,"If Source NAT performed, the post-NAT Source IP address."
NAT Destination IP (natdst),natdst,"If Destination NAT performed, the post-NAT Destination IP address."
Rule Name (rule),rule,Name of the Security policy rule in effect on the session.
Source User (srcuser),srcuser,Source User ID of packets in the session.
Destination User (dstuser),dstuser,Destination User ID of packets in the session.
Application (app),app,Tunneling protocol used in the session.
Virtual System (vsys),vsys,Virtual System associated with the session.
Source Zone (from),from,Source zone of packets in the session.
Destination Zone (to),to,Destination zone of packets in the session.
Inbound Interface (inbound_if),inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),outbound_if,Interface that the session was destined to.
Log Action (logset),logset,Log Forwarding Profile that was applied to the session.
Session ID (sessionid),sessionid,Session ID of the session being logged.
Repeat Count (repeatcnt),repeatcnt,"Number of sessions with same Source IP, Destination IP, Application, and Subtype seen within 5 seconds."
Source Port (sport),sport,Source port utilized by the session.
Destination Port (dport),dport,Destination port utilized by the session.
NAT Source Port (natsport),natsport,Post-NAT source port.
NAT Destination Port (natdport),natdport,Post-NAT destination port.
Flags (flags),flags,"32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000 —session has a packet capture (PCAP)

0x02000000 —IPv6 session

0x01000000 —SSL session was decrypted (SSL Proxy)

0x00800000 —session was denied via URL filtering

0x00400000 —session has a NAT translation performed (NAT)

0x00200000 —user information for the session was captured through Authentication Portal

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000 —log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00008000 —session is a container page access (Container Page)

0x00002000 —session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800 —symmetric return was used to forward traffic for this session"
IP Protocol (proto),proto,IP protocol associated with the session.
