Field Name,Variable Name,Description
Receive Time (receive_time or cef-formatted-receive_time),receive_time,Time the log was received at the management plane.
Serial Number (serial #),serial,Serial number of the firewall that generated the log.
Type (type),type,Specifies the type of log; value is THREAT.
Threat/Content Type (subtype),subtype,"Subtype of threat log. Values include the following:

data—Data pattern matching a Data Filtering profile.

file—File type matching a File Blocking profile.

flood—Flood detected via a Zone Protection profile.

packet—Packet-based attack protection triggered by a Zone Protection profile.

scan—Scan detected via a Zone Protection profile.

spyware —Spyware detected via an Anti-Spyware profile.

url—URL filtering log.

ml-virus—Virus detected by WildFire Inline ML via an Antivirus profile.

virus—Virus detected via an Antivirus profile.

vulnerability —Vulnerability exploit detected via a Vulnerability Protection profile.

wildfire —A WildFire verdict generated when the firewall submits a file to WildFire per a WildFire Analysis profile and a verdict (malware, phishing, grayware, or benign, depending on what you are logging) is logged in the WildFire Submissions log.

wildfire-virus—Virus detected via an Antivirus profile."
Generate Time (time_generated or cef-formatted-time_generated),time_generated,Time the log was generated on the dataplane.
Source address (src),src,Original session source IP address.
Destination address (dst),dst,Original session destination IP address.
NAT Source IP (natsrc),natsrc,"If source NAT performed, the post-NAT source IP address."
NAT Destination IP (natdst),natdst,"If destination NAT performed, the post-NAT destination IP address."
Rule Name (rule),rule,Name of the rule that the session matched.
Source User (srcuser),srcuser,Username of the user who initiated the session.
Destination User (dstuser),dstuser,Username of the user to which the session was destined.
Application (app),app,Application associated with the session.
Virtual System (vsys),vsys,Virtual System associated with the session.
Source Zone (from),from,Zone the session was sourced from.
Destination Zone (to),to,Zone the session was destined to.
Inbound Interface (inbound_if),inbound_if,Interface that the session was sourced from.
Outbound Interface (outbound_if),outbound_if,Interface that the session was destined to.
Log Action (logset),logset,Log Forwarding Profile that was applied to the session.
Session ID (sessionid),sessionid,An internal numerical identifier applied to each session.
Repeat Count (repeatcnt),repeatcnt,"Number of sessions with same Source IP, Destination IP, Application, and Content/Threat Type seen within 5 seconds."
Source Port (sport),sport,Source port utilized by the session.
Destination Port (dport),dport,Destination port utilized by the session.
NAT Source Port (natsport),natsport,Post-NAT source port.
NAT Destination Port (natdport),natdport,Post-NAT destination port.
Flags (flags),flags,"32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000—session has a packet capture (PCAP)

0x40000000—option is enabled to allow a client to use multiple paths to connect to a destination host

0x20000000—file is submitted to WildFire for a verdict

0x10000000—enterprise credential submission by end user detected

0x08000000— source for the flow is on an allow list and not subject to recon protection

0x02000000—IPv6 session

0x01000000—SSL session is decrypted (SSL Proxy)

0x00800000—session is denied via URL filtering

0x00400000—session has a NAT translation performed

0x00200000—user information for the session was captured through Authentication Portal

0x00100000—application traffic is on a non-standard destination port

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000 —log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00020000—Client to Server flow is subject to policy based forwarding

0x00010000—Server to Client flow is subject to policy based forwarding

0x00008000 —session is a container page access (Container Page)

0x00002000 —session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800 —symmetric return is used to forward traffic for this session

0x00000400—decrypted traffic is being sent out clear text through a mirror port

0x00000010—payload of the outer tunnel is being inspected"
IP Protocol (proto),proto,IP protocol associated with the session.
Action (action),action,"Action taken for the session; values are alert, allow, deny, drop, drop-all-packets, reset-client, reset-server, reset-both, block-url.

alert—threat or URL detected but not blocked

allow— flood detection alert

deny—flood detection mechanism activated and deny traffic based on configuration

drop— threat detected and session remains, but drops all packets

reset-client —threat detected and a TCP RST is sent to the client

reset-server —threat detected and a TCP RST is sent to the server

reset-both —threat detected and a TCP RST is sent to both the client and the server

block-url —URL request was blocked because it matched a URL category that was set to be blocked

block-ip—threat detected and client IP is blocked

random-drop—flood detected and packet was randomly dropped

sinkhole—DNS sinkhole activated

syncookie-sent—syncookie alert

block-continue (URL subtype only)—a HTTP request is blocked and redirected to a Continue page with a button for confirmation to proceed

continue (URL subtype only)—response to a block-continue URL continue page indicating a block-continue request was allowed to proceed

block-override (URL subtype only)—a HTTP request is blocked and redirected to an Admin override page that requires a pass code from the firewall administrator to continue

override-lockout (URL subtype only)—too many failed admin override pass code attempts from the source IP. IP is now blocked from the block-override redirect page

override (URL subtype only)—response to a block-override page where a correct pass code is provided and the request is allowed

block (Wildfire only)—file was blocked by the firewall and uploaded to Wildfire"
URL/Filename (misc),misc,"Field with variable length. A Filename has a maximum of 63 characters. A URL has a maximum of 1023 characters
The actual URI when the subtype is url
File name or file type when the subtype is file
File name when the subtype is virus
File name when the subtype is wildfire-virus
File name when the subtype is wildfire
URL or File name when the subtype is vulnerability if applicable
URL when Threat Category is domain-edl
Spoofed SNI domain when a host header mismatch is detected (identified by a unique threat ID of 86467)."
Threat/Content Name (threatid),threatid,"Palo Alto Networks identifier for known and custom threats. It is a description string followed by a 64-bit numerical identifier in parentheses for some Subtypes:

8000 – 8099— scan detection

8500 – 8599— flood detection

9999— URL filtering log

10000 – 19999 —spyware phone home detection

20000 – 29999 —spyware download detection

30000 – 44999 —vulnerability exploit detection

52000 – 52999— filetype detection

60000 – 69999 —data filtering detection
If the Domain EDL field is populated, then this field is populated with the same value.


Threat ID ranges for virus detection, WildFire signature feed, and DNS C2 signatures used in previous releases have been replaced with permanent, globally unique IDs. Refer to the Threat/Content Type (subtype) and Threat Category (thr_category) field names to create updated reports, filter threat logs, and ACC activity."
Category (category),category,"For URL Subtype, it is the URL Category; For WildFire subtype, it is the verdict on the file and is either ‘malware’, ‘phishing’, ‘grayware’, or ‘benign’; For other subtypes, the value is ‘any’."
Severity (severity),severity,"Severity associated with the threat; values are informational, low, medium, high, critical."
Direction (direction),direction,"Indicates the direction of the attack, client-to-server or server-to-client:

0—direction of the threat is client to server

1—direction of the threat is server to client"
Sequence Number (seqno),seqno,A 64-bit log entry identifier incremented sequentially. Each log type has a unique number space.
Action Flags (actionflags),actionflags,A bit field indicating if the log was forwarded to Panorama.
Source Country (srcloc),srcloc,Source country or Internal region for private addresses. Maximum length is 32 bytes.
Destination Country (dstloc),dstloc,Destination country or Internal region for private addresses. Maximum length is 32 bytes.
Content Type (contenttype),contenttype,"Applicable only when Subtype is URL.
Content type of the HTTP response data. Maximum length 32 bytes."
PCAP ID (pcap_id),pcap_id,"The packet capture (pcap) ID is a 64 bit unsigned integral denoting an ID to correlate threat pcap files with extended pcaps taken as a part of that flow. All threat logs will contain either a pcap_id of 0 (no associated pcap), or an ID referencing the extended pcap file."
File Digest (filedigest),filedigest,"Only for WildFire subtype; all other types do not use this field
The filedigest string shows the binary hash of the file sent to be analyzed by the WildFire service."
Cloud (cloud),cloud,"Only for WildFire subtype; all other types do not use this field.
The cloud string displays the FQDN of either the WildFire appliance (private) or the WildFire cloud (public) from where the file was uploaded for analysis."
